P,E_star,I_star,eig1_real,eig1_imag,eig2_real,eig2_imag,max_real_eig,stable
0.68,0.014794217606784857,0.012992380520339967,-0.6611245892230895,0.024655135734113806,-0.6611245892230895,-0.024655135734113806,-0.6611245892230895,True
0.72,0.015889947304537157,0.01319422135719863,-0.6539289207820198,0.06552874766249352,-0.6539289207820198,-0.06552874766249352,-0.6539289207820198,True
0.76,0.017083399361216372,0.013417403396074576,-0.6461176891292679,0.0906781685097926,-0.6461176891292679,-0.0906781685097926,-0.6461176891292679,True
0.8,0.018386290217424515,0.013665081820710155,-0.6376214909622666,0.11140364445122454,-0.6376214909622666,-0.11140364445122454,-0.6376214909622666,True
0.84,0.01981233710805059,0.013941066600445789,-0.6283598587213682,0.1299141541049543,-0.6283598587213682,-0.1299141541049543,-0.6283598587213682,True
0.88,0.02137773149162563,0.01425000444581689,-0.6182388097816898,0.14711926837935366,-0.6182388097816898,-0.14711926837935366,-0.6182388097816898,True
0.92,0.02310175891492028,0.014597625423942936,-0.6071476856073613,0.1635022049757048,-0.6071476856073613,-0.1635022049757048,-0.6071476856073613,True
0.96,0.025007621764933582,0.014991082675332997,-0.594955026507746,0.17936031846087314,-0.594955026507746,-0.17936031846087314,-0.594955026507746,True
1.0,0.02712354738805407,0.015439428762202499,-0.5815031206854682,0.1948968806416899,-0.5815031206854682,-0.1948968806416899,-0.5815031206854682,True
1.04,0.029484303974477235,0.015954296731123176,-0.5666007099590942,0.2102638803628044,-0.5666007099590942,-0.2102638803628044,-0.5666007099590942,True
1.08,0.032133308296480985,0.016550894797627502,-0.5500131079104208,0.2255856441093422,-0.5500131079104208,-0.2255856441093422,-0.5500131079104208,True
1.12,0.035125604997546155,0.017249492941678247,-0.5314486668297492,0.24097473451838594,-0.5314486668297492,-0.24097473451838594,-0.5314486668297492,True
1.16,0.03853214327422398,0.018077699882884043,-0.5105401150306614,0.25654598153327746,-0.5105401150306614,-0.25654598153327746,-0.5105401150306614,True
1.2,0.04244598865316697,0.019074039496595262,-0.4868188733977702,0.27243331831939677,-0.4868188733977702,-0.27243331831939677,-0.4868188733977702,True
1.24,0.046991365440803956,0.020293702037284853,-0.45968052735098697,0.28881557549917636,-0.45968052735098697,-0.28881557549917636,-0.45968052735098697,True
1.28,0.05233653341880798,0.021817946545494172,-0.4283419763676892,0.30596212255033794,-0.4283419763676892,-0.30596212255033794,-0.4283419763676892,True
1.32,0.05871054912002098,0.023769407820770975,-0.391801569690266,0.32431935318936966,-0.391801569690266,-0.32431935318936966,-0.391801569690266,True
1.36,0.06641845820082654,0.026335476321213143,-0.34885215701549477,0.34467550694597415,-0.34885215701549477,-0.34467550694597415,-0.34885215701549477,True
1.4000000000000001,0.07582842958919532,0.02979543423117567,-0.298312792390678,0.368443832201836,-0.298312792390678,-0.368443832201836,-0.298312792390678,True
1.44,0.08724878629580164,0.03451558133244496,-0.2398771689194186,0.39796075621551424,-0.2398771689194186,-0.39796075621551424,-0.2398771689194186,True
1.48,0.10057838841346575,0.040807639165043944,-0.17586879853457504,0.43608365323984305,-0.17586879853457504,-0.43608365323984305,-0.17586879853457504,True
1.52,0.1149504042164693,0.04861293498943741,-0.11215635726651299,0.4840075286373187,-0.11215635726651299,-0.4840075286373187,-0.11215635726651299,True
1.56,0.1291116948001805,0.057410790725674093,-0.05500999139097953,0.5392777329784134,-0.05500999139097953,-0.5392777329784134,-0.05500999139097953,True
1.6,0.14225205813952457,0.06660416123650684,-0.007196239455581427,0.597614934065618,-0.007196239455581427,-0.597614934065618,-0.007196239455581427,True
1.6400000000000001,0.15416898447434957,0.07582095602942646,0.031670043657929345,0.6557131389979114,0.031670043657929345,-0.6557131389979114,0.031670043657929345,False
1.68,0.16496488813602353,0.08489801395466345,0.06307802340283551,0.7118285212422247,0.06307802340283551,-0.7118285212422247,0.06307802340283551,False
1.72,0.17481951895117562,0.09378268131956743,0.08851399304105553,0.7652405489173482,0.08851399304105553,-0.7652405489173482,0.08851399304105553,False
1.76,0.18390348433535714,0.10246933063171042,0.10917018875506015,0.8157424209164684,0.10917018875506015,-0.8157424209164684,0.10917018875506015,False
1.8,0.1923576266725441,0.11096987296640114,0.12594593791150244,0.863356631873717,0.12594593791150244,-0.863356631873717,0.12594593791150244,False
1.84,0.20029353397156505,0.11930146509588369,0.13951144956288414,0.9081979440984652,0.13951144956288414,-0.9081979440984652,0.13951144956288414,False
1.8800000000000001,0.2077989350201113,0.12748165897903863,0.1503689839334158,0.9504107015327297,0.1503689839334158,-0.9504107015327297,0.1503689839334158,False
1.92,0.21494316287146023,0.13552663541463028,0.15889932862438655,0.9901410793117825,0.15889932862438655,-0.9901410793117825,0.15889932862438655,False
1.96,0.22178158277865942,0.14345069368126212,0.16539490535977405,1.0275254742073852,0.16539490535977405,-1.0275254742073852,0.16539490535977405,False
2.0,0.22835894663862272,0.15126623702277991,0.17008298725315715,1.0626863113309615,0.17008298725315715,-1.0626863113309615,0.17008298725315715,False
2.04,0.23471188157661466,0.158983937245503,0.17314202725353528,1.0957312134705,0.17314202725353528,-1.0957312134705,0.17314202725353528,False
2.08,0.24087073114523394,0.16661294727240694,0.17471326020107425,1.1267536309837627,0.17471326020107425,-1.1267536309837627,0.17471326020107425,False
2.12,0.2468609249756681,0.17416110927971065,0.17490905540383828,1.1558340393359372,0.17490905540383828,-1.1558340393359372,0.17490905540383828,False
2.16,0.25270400666968484,0.18163513952836285,0.1738190129791738,1.183041287130902,0.1738190129791738,-1.183041287130902,0.1738190129791738,False
2.2,0.2584184134343543,0.1890407853256359,0.1715144730633359,1.2084339096851209,0.1715144730633359,-1.2084339096851209,0.1715144730633359,False
2.24,0.2640200733491089,0.19638295482179496,0.1680518929842366,1.2320613292689095,0.1680518929842366,-1.2320613292689095,0.1680518929842366,False
2.2800000000000002,0.2695228680424274,0.20366582279752393,0.1634754051499046,1.2539649227543874,0.1634754051499046,-1.2539649227543874,0.1634754051499046,False
2.32,0.2749389938119789,0.21089291551358955,0.15781877430271268,1.274178952840139,0.15781877430271268,-1.274178952840139,0.15781877430271268,False
2.36,0.2802792467788734,0.21806717798204242,0.15110690839769442,1.2927313837361678,0.15110690839769442,-1.2927313837361678,0.15110690839769442,False
2.4,0.28555324838104407,0.22519102582980174,0.14335703527445853,1.3096445880380823,0.14335703527445853,-1.3096445880380823,0.14335703527445853,False
2.44,0.2907696252211543,0.2322663842758524,0.13457962597388878,1.3249359687224076,0.13457962597388878,-1.3249359687224076,0.13457962597388878,False
2.48,0.29593615250981115,0.23929471562173393,0.12477912601461148,1.3386185112044948,0.12477912601461148,-1.3386185112044948,0.12477912601461148,False
