feature,logit_abs_coef,rf_gini_importance,rf_permutation_importance,rf_permutation_importance_raw,rf_permutation_std,logit_abs_coef_rank,rf_gini_importance_rank,rf_permutation_importance_rank
max_skew,0.5377231784529365,0.001868151031093529,0.0,-7.33937258848294e-05,2.774022092624322e-05,34.0,48.0,22.0
max_deltaP,1.1568210242967438,0.01622709279774095,0.0,-0.00022018117765468248,9.31911006680236e-05,22.0,14.0,22.0
max_fuzzyEn_approx,0.6952614165972908,0.0072093136864540145,0.0,-0.00018872672370399968,0.00013750709873137473,32.0,20.0,22.0
mean_hjorth_mobility,4.7875976731683885,0.0032280437832975534,0.0,-1.0484817983533179e-05,8.834664667394115e-05,3.0,33.0,22.0
max_alphaRel,0.11699326751602956,0.007264123767563771,0.0,-0.00016775708773686393,4.193927193424374e-05,44.0,19.0,22.0
max_deltaRel,0.2421817742060449,0.003018727544422887,0.0,-9.436336185193739e-05,8.834664667397737e-05,40.0,35.0,22.0
max_spec_slope_4_40,0.4611580849737326,0.005135032899212705,0.0,-0.0001992115416875606,9.319110066802673e-05,38.0,25.0,22.0
max_beta_peak_freq,0.7272050221342663,0.001771407178497425,0.0,-3.1454453950613415e-05,5.837699591960747e-05,31.0,49.0,22.0
max_rms,1.9528497303796744,0.03735785560311959,0.0,-0.0015098137896325386,0.0001109608837050883,12.0,9.0,22.0
max_line_length,0.7583253913570458,0.015186959990148878,0.0,-0.0018977520550242516,0.00018726483706060426,30.0,15.0,22.0
max_zcr,0.20938116062599435,0.0027842694092167527,0.0,-0.0002201811776546686,7.188029064336712e-05,41.0,41.0,22.0
max_hjorth_activity,1.0435297914336876,0.05579458347661667,0.0,-0.0018453279651064747,0.00012581781580269422,24.0,6.0,22.0
max_hjorth_mobility,1.4444142318696247,0.003237968081705731,0.0,-2.0969635967080236e-05,9.140452406347864e-05,16.0,32.0,22.0
max_hjorth_complexity,0.10223941041774441,0.0027938089902928265,0.0,-4.193927193418823e-05,4.193927193418823e-05,46.0,40.0,22.0
